DATE,TIME
2013-10-15,7:07:06
2013-10-20,13:00:09
2013-10-23,4:17:10
2013-10-28,11:15:10
2013-10-28,20:32:06
2013-11-02,18:23:11
2013-11-07,9:19:10
2013-11-11,9:29:21
2013-11-19,7:10:53
2013-11-20,18:31:24
2013-11-30,11:36:36
2013-11-30,15:10:13
2013-12-05,2:15:05
2013-12-21,19:35:11
2013-12-22,19:57:29
2013-12-23,13:39:26
2013-12-23,14:01:31
2013-12-23,18:03:50
2013-12-23,18:36:32
2013-12-23,18:56:02
2013-12-25,5:00:52
2013-12-26,0:18:20
2013-12-28,4:05:57
2013-12-30,18:32:35
2013-12-30,23:44:21
2013-12-31,9:21:09
2013-12-31,12:33:24
2014-01-01,15:47:16
2014-01-03,19:48:00
2014-01-15,9:35:19
2014-01-16,7:40:06
2014-01-16,9:50:04
2014-01-18,6:37:37
2014-01-27,12:42:38
2014-01-27,23:35:34
2014-02-01,1:25:18
2014-02-03,6:59:18
2014-02-03,13:12:06
2014-02-04,5:31:19
2014-02-04,13:21:48
2014-02-07,21:51:52
2014-02-19,4:00:03
2014-02-19,4:09:15
2014-02-19,4:12:50
2014-02-20,0:34:42
2014-03-04,22:42:56
2014-03-04,22:49:33
2014-03-04,22:51:03
2014-03-05,9:17:02
2014-03-07,17:58:32
2014-03-08,4:16:31
2014-03-09,18:59:49
2014-03-13,2:11:04
2014-03-15,15:12:20
2014-03-16,21:55:33
2014-03-17,13:25:37
2014-03-26,23:50:53
2014-03-28,4:15:30
2014-03-29,3:03:40
2014-03-29,4:09:42
2014-03-29,4:11:54
2014-03-29,4:30:52
2014-03-29,5:37:14
2014-03-29,16:02:06
2014-03-29,21:32:46
2014-03-30,5:51:23
2014-03-30,6:17:31
2014-04-03,17:08:02
2014-04-08,1:59:14
2014-04-08,19:06:19
2014-04-08,19:55:44
2014-04-11,23:53:15
2014-04-14,21:32:18
2014-04-18,17:44:32
2014-04-19,12:15:13
2014-04-20,5:12:18
2014-04-25,19:26:09
2014-05-06,10:48:20
2014-05-08,6:39:25
2014-05-09,4:49:33
2014-05-19,20:08:52
2014-05-23,14:14:58
2014-05-27,19:30:52
2014-05-31,2:59:29
2014-06-02,2:36:44
2014-06-05,13:19:40
2014-06-11,9:38:06
2014-06-13,13:35:20
2014-06-14,6:41:14
2014-06-15,4:30:26
2014-06-17,23:57:47
2014-06-18,6:42:43
2014-06-27,15:17:24
2014-06-28,6:06:15
2014-06-30,4:30:55
2014-07-01,9:04:43
2014-07-02,18:32:18
2014-07-03,23:50:28
2014-07-05,16:59:34
2014-07-05,17:00:26
2014-07-05,19:05:46
2014-07-06,0:54:57
2014-07-07,8:51:06
2014-07-08,12:31:46
2014-07-09,7:04:48
2014-07-09,21:48:05
2014-07-10,20:41:44
2014-07-11,17:25:02
2014-07-15,6:07:14
2014-07-17,14:24:34
2014-07-17,15:45:53
2014-07-20,9:18:22
2014-07-20,19:43:22
2014-07-20,19:48:39
2014-07-21,2:55:13
2014-07-24,19:20:15
2014-07-28,6:45:40
2014-07-29,22:38:26
2014-08-07,21:45:54
2014-08-09,16:46:29
2014-08-12,20:58:50
2014-08-15,3:57:19
2014-08-15,17:03:36
